;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2011      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;47;-11;-18,4%;51;-14;-21,7%;98;-25;-20,2%
40402-ASPACH;18;-4;-17,8%;20;-5;-18,5%;39;-9;-18,2%
40403-AUERBACH;6;1;28,3%;2;-3;-65,6%;7;-2;-21,9%
40404-BRAUNAU AM INN;259;-2;-0,8%;277;-18;-6,0%;536;-20;-3,6%
40405-BURGKIRCHEN;25;8;45,5%;20;-5;-18,8%;45;3;8,0%
40406-EGGELSBERG;21;0;1,2%;23;1;3,0%;43;1;2,2%
40407-FELDKIRCHEN BEI MATTIGHOFEN;14;-1;-8,7%;13;0;-1,3%;26;-2;-5,4%
40408-FRANKING;11;1;7,6%;8;2;24,7%;19;2;14,6%
40409-GERETSBERG;7;-1;-8,9%;8;-1;-11,1%;15;-2;-10,1%
40410-GILGENBERG AM WEILHART;9;2;32,1%;9;-1;-12,5%;18;1;5,9%
40411-HAIGERMOOS;5;0;-6,0%;4;-3;-41,1%;9;-3;-24,3%
40412-HANDENBERG;8;-2;-24,2%;14;-3;-17,6%;22;-6;-20,0%
40413-HELPFAU-UTTENDORF;39;-1;-1,3%;48;-15;-23,4%;88;-15;-14,8%
40414-HOCHBURG-ACH;15;-1;-7,1%;13;-2;-11,2%;28;-3;-9,1%
40415-HOEHNHART;9;-1;-5,9%;17;-5;-21,5%;27;-5;-16,7%
40416-JEGING;6;2;32,1%;6;-1;-12,8%;12;1;6,0%
40417-KIRCHBERG BEI MATTIGHOFEN;10;-2;-14,4%;9;-2;-19,4%;20;-4;-16,8%
40418-LENGAU;33;-8;-19,2%;46;-4;-8,2%;79;-12;-13,1%
40419-LOCHEN;18;1;8,2%;18;-6;-26,3%;35;-5;-12,4%
40420-MARIA SCHMOLLN;6;1;29,1%;11;-6;-37,0%;16;-5;-22,7%
40421-MATTIGHOFEN;73;-10;-12,4%;75;-15;-16,8%;147;-25;-14,7%
40422-MAUERKIRCHEN;34;-7;-16,1%;37;-5;-12,2%;71;-12;-14,1%
40423-MINING;7;-1;-10,5%;5;-4;-46,6%;12;-5;-29,3%
40424-MOOSBACH;6;-1;-13,4%;11;1;7,2%;17;0;-1,0%
40425-MOOSDORF;12;-1;-5,8%;12;-5;-31,2%;24;-6;-20,3%
40426-MUNDERFING;31;2;5,7%;30;2;5,7%;60;3;5,7%
40427-NEUKIRCHEN AN DER ENKNACH;15;-4;-20,2%;17;-4;-16,9%;32;-7;-18,5%
40428-OSTERMIETHING;30;-8;-19,9%;27;-4;-14,0%;57;-12;-17,2%
40429-PALTING;4;-2;-35,0%;5;-1;-18,7%;9;-4;-27,1%
40430-PERWANG AM GRABENSEE;7;3;77,6%;7;-1;-10,1%;15;2;18,9%
40431-PFAFFSTAETT;9;0;4,6%;13;3;24,4%;22;3;15,2%
40432-PISCHELSDORF AM ENGELBACH;14;3;23,4%;17;4;25,6%;31;6;24,6%
40433-POLLING IM INNKREIS;5;-1;-21,1%;9;1;20,0%;14;0;0,6%
40434-ROSZBACH;7;-3;-31,0%;8;-5;-40,3%;14;-8;-36,4%
40435-SANKT GEORGEN AM FILLMANNSBACH;3;1;17,6%;3;-2;-32,8%;7;-1;-14,1%
40436-SANKT JOHANN AM WALDE;12;-2;-14,1%;26;-4;-14,2%;38;-6;-14,2%
40437-SANKT PANTALEON;37;-2;-3,9%;43;-10;-18,0%;80;-11;-12,0%
40438-SANKT PETER AM HART;19;-3;-14,4%;19;0;-0,4%;38;-3;-8,1%
40439-SANKT RADEGUND;3;0;-13,9%;3;0;-9,1%;6;-1;-11,3%
40440-SANKT VEIT IM INNKREIS;3;-1;-18,6%;3;-1;-25,5%;6;-2;-22,3%
40441-SCHALCHEN;36;-5;-11,8%;42;-11;-20,3%;78;-15;-16,6%
40442-SCHWAND IM INNKREIS;3;-1;-27,3%;4;-2;-30,1%;8;-3;-28,9%
40443-TARSDORF;10;-5;-30,7%;13;-3;-16,1%;23;-7;-23,2%
40444-TREUBACH;5;-1;-14,9%;3;-2;-39,6%;8;-3;-25,2%
40445-UEBERACKERN;4;0;4,0%;1;0;-22,2%;6;0;-2,9%
40446-WENG IM INNKREIS;12;-1;-7,7%;8;-3;-27,4%;19;-4;-16,5%
Gesamt;969;-65;-6,3%;1.056;-163;-13,3%;2.026;-228;-10,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2011      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;36;-6;-14,0%;39;-7;-14,7%;74;-13;-14,4%
40502-ASCHACH AN DER DONAU;17;1;6,7%;22;-9;-29,9%;39;-8;-17,3%
40503-EFERDING;41;5;12,4%;43;-12;-21,2%;84;-7;-7,9%
40504-FRAHAM;13;-2;-14,6%;18;-2;-11,9%;31;-5;-13,1%
40505-HAIBACH OB DER DONAU;8;0;5,4%;8;-3;-24,2%;16;-2;-12,1%
40506-HARTKIRCHEN;20;3;14,8%;26;-8;-23,2%;46;-5;-10,5%
40507-HINZENBACH;12;-3;-20,0%;17;-1;-6,1%;29;-4;-12,5%
40508-PRAMBACHKIRCHEN;17;2;16,1%;24;-2;-7,3%;41;0;1,0%
40509-PUPPING;9;-1;-6,7%;12;-1;-9,1%;21;-2;-8,1%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;12;0;0,0%;15;-3;-14,0%;28;-3;-8,3%
40511-SCHARTEN;14;-1;-3,4%;21;-3;-12,6%;35;-4;-9,1%
40512-STROHEIM;8;1;11,1%;14;-4;-22,0%;22;-3;-12,0%
Gesamt;207;-1;-0,2%;258;-54;-17,3%;466;-55;-10,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2011      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;89;6;7,4%;100;-3;-2,5%;189;4;1,9%
40602-GRUENBACH;14;2;12,8%;15;-4;-21,9%;29;-3;-8,0%
40603-GUTAU;19;2;11,0%;18;-4;-19,8%;37;-3;-6,3%
40604-HAGENBERG IM MUEHLKREIS;16;-3;-15,9%;14;-7;-34,7%;30;-10;-25,6%
40605-HIRSCHBACH IM MUEHLKREIS;3;-2;-36,2%;8;-1;-13,2%;11;-3;-21,3%
40606-KALTENBERG;2;-1;-28,9%;7;-2;-23,3%;9;-3;-24,8%
40607-KEFERMARKT;13;0;0,0%;16;2;11,0%;29;2;5,8%
40608-KOENIGSWIESEN;16;-1;-6,4%;27;-3;-10,1%;43;-4;-8,8%
40609-LASBERG;13;-4;-24,2%;23;-2;-6,1%;36;-6;-13,7%
40610-LEOPOLDSCHLAG;5;-1;-12,9%;16;-3;-14,0%;21;-3;-13,7%
40611-LIEBENAU;9;0;-1,0%;10;-5;-33,0%;19;-5;-21,3%
40612-NEUMARKT IM MUEHLKREIS;16;-4;-18,2%;23;-8;-25,2%;39;-11;-22,4%
40613-PIERBACH;4;-1;-25,0%;11;0;-2,2%;15;-2;-9,8%
40614-PREGARTEN;30;-2;-5,0%;34;-13;-27,1%;64;-14;-18,2%
40615-RAINBACH IM MUEHLKREIS;21;0;-0,4%;27;-1;-4,5%;48;-1;-2,7%
