;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;64;20;45,7%;79;33;73,6%;143;54;59,9%
40402-ASPACH;22;5;29,8%;31;12;61,1%;54;17;46,5%
40403-AUERBACH;3;2;135,3%;6;4;227,3%;9;6;187,2%
40404-BRAUNAU AM INN;300;98;48,7%;390;161;69,9%;690;259;60,0%
40405-BURGKIRCHEN;18;3;17,4%;28;13;87,6%;46;16;51,9%
40406-EGGELSBERG;31;11;59,3%;31;18;133,3%;62;29;89,5%
40407-FELDKIRCHEN BEI MATTIGHOFEN;18;8;73,2%;19;6;51,0%;37;14;60,9%
40408-FRANKING;14;5;62,1%;11;4;66,2%;25;10;63,9%
40409-GERETSBERG;11;1;8,0%;13;5;65,3%;24;6;32,7%
40410-GILGENBERG AM WEILHART;10;5;88,9%;10;4;75,7%;20;9;82,0%
40411-HAIGERMOOS;5;2;66,7%;5;3;152,2%;9;5;101,8%
40412-HANDENBERG;13;2;13,6%;24;8;49,0%;36;9;34,6%
40413-HELPFAU-UTTENDORF;55;26;88,0%;75;31;72,4%;129;57;78,7%
40414-HOCHBURG-ACH;21;8;60,1%;30;15;102,3%;51;23;82,3%
40415-HOEHNHART;11;4;56,3%;27;12;81,8%;39;16;73,5%
40416-JEGING;9;4;70,5%;11;7;177,6%;20;11;118,2%
40417-KIRCHBERG BEI MATTIGHOFEN;11;6;144,2%;12;5;75,9%;22;11;103,1%
40418-LENGAU;52;21;67,7%;69;34;94,8%;121;55;82,2%
40419-LOCHEN;21;9;69,9%;18;6;51,4%;39;15;60,6%
40420-MARIA SCHMOLLN;5;2;54,8%;17;8;90,7%;22;10;80,5%
40421-MATTIGHOFEN;107;42;63,5%;131;65;99,5%;238;107;81,5%
40422-MAUERKIRCHEN;56;24;76,9%;58;23;63,5%;114;47;69,8%
40423-MINING;13;3;28,1%;12;5;69,8%;25;8;45,4%
40424-MOOSBACH;13;1;9,0%;19;9;78,5%;32;10;42,0%
40425-MOOSDORF;17;8;78,6%;20;8;63,8%;38;16;70,3%
40426-MUNDERFING;36;9;34,7%;44;21;91,2%;79;30;60,9%
40427-NEUKIRCHEN AN DER ENKNACH;24;12;108,0%;33;16;97,5%;57;29;101,8%
40428-OSTERMIETHING;46;22;90,9%;43;21;97,3%;89;43;94,0%
40429-PALTING;5;2;81,8%;6;3;80,0%;11;5;80,8%
40430-PERWANG AM GRABENSEE;8;1;12,8%;8;3;64,9%;16;4;33,6%
40431-PFAFFSTAETT;13;4;37,9%;13;7;102,6%;26;10;63,5%
40432-PISCHELSDORF AM ENGELBACH;12;3;26,5%;16;3;20,4%;28;5;23,0%
40433-POLLING IM INNKREIS;9;4;94,6%;9;4;93,0%;18;9;93,8%
40434-ROSZBACH;9;0;3,0%;13;6;89,2%;22;6;42,3%
40435-SANKT GEORGEN AM FILLMANNSBACH;4;2;73,3%;4;1;50,0%;8;3;61,3%
40436-SANKT JOHANN AM WALDE;17;7;60,0%;38;22;130,8%;55;28;102,7%
40437-SANKT PANTALEON;47;18;61,5%;58;25;75,9%;105;43;69,2%
40438-SANKT PETER AM HART;26;7;37,4%;22;9;72,7%;49;17;51,6%
40439-SANKT RADEGUND;5;-1;-10,8%;5;2;72,2%;10;2;18,8%
40440-SANKT VEIT IM INNKREIS;4;0;9,1%;6;4;378,6%;10;5;98,3%
40441-SCHALCHEN;54;21;61,8%;63;28;81,7%;117;49;71,9%
40442-SCHWAND IM INNKREIS;5;2;66,7%;6;0;-2,7%;11;2;20,0%
40443-TARSDORF;14;6;64,1%;17;9;116,3%;31;14;88,7%
40444-TREUBACH;9;2;34,2%;6;2;78,4%;14;5;48,7%
40445-UEBERACKERN;3;2;311,1%;1;0;62,5%;4;3;194,1%
40446-WENG IM INNKREIS;18;8;78,9%;17;9;109,0%;36;17;92,4%
Gesamt;1.268;447;54,5%;1.579;699;79,5%;2.847;1.147;67,4%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;40;12;41,5%;43;11;33,2%;83;22;37,1%
40502-ASCHACH AN DER DONAU;17;3;22,7%;30;16;108,8%;46;19;66,8%
40503-EFERDING;35;0;0,7%;57;15;35,2%;92;15;19,6%
40504-FRAHAM;17;5;40,4%;19;5;37,6%;36;10;38,9%
40505-HAIBACH OB DER DONAU;7;2;51,9%;10;6;153,3%;16;8;98,0%
40506-HARTKIRCHEN;25;8;45,6%;30;11;57,8%;55;19;52,1%
40507-HINZENBACH;14;5;50,0%;16;4;36,2%;30;9;42,4%
40508-PRAMBACHKIRCHEN;14;-2;-11,6%;25;9;58,5%;39;7;23,3%
40509-PUPPING;11;-1;-5,2%;11;3;43,3%;21;3;14,2%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;12;1;10,6%;18;4;31,5%;30;5;22,1%
40511-SCHARTEN;14;6;64,4%;23;8;51,6%;37;13;56,3%
40512-STROHEIM;7;2;43,5%;15;3;29,4%;22;6;33,8%
Gesamt;212;41;24,1%;296;95;47,5%;508;136;36,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2009      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;83;6;7,9%;102;24;31,0%;185;30;19,5%
