;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2007      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;42;-14;-25,7%;44;-6;-11,9%;86;-20;-19,2%
40402-ASPACH;14;-7;-32,8%;20;-4;-16,1%;34;-11;-23,8%
40403-AUERBACH;3;-2;-41,2%;3;0;8,3%;6;-2;-20,7%
40404-BRAUNAU AM INN;188;-35;-15,8%;217;-46;-17,6%;404;-82;-16,8%
40405-BURGKIRCHEN;12;-3;-22,4%;12;-5;-29,7%;24;-9;-26,3%
40406-EGGELSBERG;15;-2;-12,8%;13;-3;-18,6%;28;-5;-15,6%
40407-FELDKIRCHEN BEI MATTIGHOFEN;10;1;7,3%;12;-3;-21,7%;22;-3;-10,7%
40408-FRANKING;8;-1;-9,5%;7;-1;-7,4%;15;-1;-8,5%
40409-GERETSBERG;7;-3;-28,4%;8;-1;-7,9%;14;-3;-18,6%
40410-GILGENBERG AM WEILHART;6;-2;-20,9%;9;0;-1,9%;15;-2;-10,8%
40411-HAIGERMOOS;2;-2;-45,8%;3;-1;-15,8%;5;-2;-32,6%
40412-HANDENBERG;5;-4;-47,3%;15;-3;-16,7%;20;-7;-26,9%
40413-HELPFAU-UTTENDORF;27;-9;-26,0%;33;-16;-32,3%;59;-25;-29,6%
40414-HOCHBURG-ACH;11;-4;-26,0%;11;-4;-26,0%;22;-8;-26,0%
40415-HOEHNHART;8;-3;-25,0%;15;-3;-17,1%;22;-6;-19,9%
40416-JEGING;3;-1;-16,2%;3;-2;-31,6%;6;-2;-25,5%
40417-KIRCHBERG BEI MATTIGHOFEN;7;0;-3,5%;7;-3;-29,2%;14;-3;-18,2%
40418-LENGAU;28;-7;-19,8%;33;-6;-15,7%;61;-13;-17,7%
