;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2006      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;56;3;5,3%;50;-9;-15,6%;107;-7;-5,8%
40402-ASPACH;20;0;0,4%;24;-3;-9,8%;44;-3;-5,4%
40403-AUERBACH;4;3;142,9%;3;-1;-20,0%;7;2;31,8%
40404-BRAUNAU AM INN;223;-6;-2,4%;263;-17;-6,0%;486;-22;-4,4%
40405-BURGKIRCHEN;15;-3;-17,9%;17;-3;-14,7%;33;-6;-16,2%
40406-EGGELSBERG;17;-2;-12,5%;16;-1;-4,1%;33;-3;-8,6%
40407-FELDKIRCHEN BEI MATTIGHOFEN;9;-5;-36,8%;15;-3;-17,8%;24;-9;-26,2%
40408-FRANKING;9;-3;-23,4%;8;-5;-37,9%;17;-8;-31,0%
40409-GERETSBERG;9;1;14,7%;8;-1;-10,6%;18;0;1,0%
40410-GILGENBERG AM WEILHART;8;1;15,2%;9;-1;-8,8%;16;0;1,0%
40411-HAIGERMOOS;4;1;26,3%;3;1;40,7%;7;2;32,3%
40412-HANDENBERG;9;1;10,0%;18;-1;-3,1%;28;0;0,9%
40413-HELPFAU-UTTENDORF;36;-2;-4,7%;48;-4;-7,1%;84;-5;-6,1%
40414-HOCHBURG-ACH;14;-2;-13,5%;15;-3;-15,8%;30;-5;-14,7%
40415-HOEHNHART;10;0;-1,6%;18;-1;-6,6%;28;-1;-4,9%
40416-JEGING;3;1;54,2%;5;1;14,0%;8;2;27,0%
40417-KIRCHBERG BEI MATTIGHOFEN;7;1;21,4%;9;2;34,5%;17;4;28,6%
40418-LENGAU;35;-2;-4,5%;39;-5;-12,1%;75;-7;-8,7%
40419-LOCHEN;20;3;14,4%;16;-3;-14,1%;36;0;-0,2%
40420-MARIA SCHMOLLN;7;0;-2,3%;12;-1;-10,1%;19;-2;-7,3%
40421-MATTIGHOFEN;67;-6;-7,6%;65;-3;-4,4%;131;-9;-6,1%
40422-MAUERKIRCHEN;36;-5;-13,2%;40;-2;-5,5%;76;-8;-9,3%
40423-MINING;12;3;41,8%;8;-1;-12,0%;20;2;13,6%
40424-MOOSBACH;7;-2;-18,2%;8;-2;-22,6%;15;-4;-20,6%
40425-MOOSDORF;14;-1;-6,8%;12;-2;-15,3%;26;-3;-11,0%
40426-MUNDERFING;28;-1;-1,8%;31;0;0,3%;59;0;-0,7%
40427-NEUKIRCHEN AN DER ENKNACH;18;5;32,5%;17;-2;-12,4%;35;2;6,3%
40428-OSTERMIETHING;23;-8;-26,0%;25;-2;-8,3%;48;-10;-17,8%
40429-PALTING;5;-4;-48,6%;3;-1;-14,9%;8;-5;-38,2%
40430-PERWANG AM GRABENSEE;4;-1;-13,1%;4;-2;-31,9%;8;-3;-23,1%
40431-PFAFFSTAETT;6;1;9,4%;6;-1;-8,9%;12;0;-0,7%
40432-PISCHELSDORF AM ENGELBACH;10;-1;-6,1%;10;-5;-33,3%;20;-6;-22,0%
40433-POLLING IM INNKREIS;9;0;-4,4%;8;0;3,1%;18;0;-0,9%
40434-ROSZBACH;11;1;8,5%;8;-3;-25,8%;19;-2;-9,6%
40435-SANKT GEORGEN AM FILLMANNSBACH;3;1;36,4%;2;-2;-45,7%;5;-1;-19,1%
40436-SANKT JOHANN AM WALDE;11;-2;-12,2%;27;2;9,7%;38;1;2,5%
40437-SANKT PANTALEON;33;3;9,9%;39;-4;-9,2%;72;-1;-1,5%
40438-SANKT PETER AM HART;20;1;3,5%;12;-5;-31,0%;32;-5;-13,1%
40439-SANKT RADEGUND;2;0;20,8%;3;0;10,7%;5;1;15,4%
40440-SANKT VEIT IM INNKREIS;1;0;-25,0%;2;0;31,3%;3;0;7,1%
40441-SCHALCHEN;35;0;-0,9%;40;0;-0,4%;75;-1;-0,7%
40442-SCHWAND IM INNKREIS;3;1;36,7%;6;-1;-15,2%;9;0;-0,9%
40443-TARSDORF;6;-4;-41,0%;9;2;37,7%;15;-2;-10,6%
40444-TREUBACH;7;0;6,2%;4;-1;-20,0%;11;-1;-4,4%
40445-UEBERACKERN;1;-1;-50,0%;1;0;-16,7%;2;-2;-41,3%
40446-WENG IM INNKREIS;10;-2;-16,9%;11;1;6,5%;21;-1;-6,3%
Gesamt;899;-34;-3,7%;999;-92;-8,5%;1.898;-127;-6,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
