;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2005      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;53;3;5,6%;60;11;23,2%;113;14;14,2%
40402-ASPACH;20;1;5,2%;26;5;25,3%;47;6;15,7%
40403-AUERBACH;2;1;162,5%;4;2;104,5%;6;3;120,0%
40404-BRAUNAU AM INN;229;20;9,5%;280;41;17,3%;508;61;13,7%
40405-BURGKIRCHEN;19;0;-1,3%;20;1;7,0%;39;1;2,9%
40406-EGGELSBERG;19;2;12,1%;16;0;1,6%;36;2;7,0%
40407-FELDKIRCHEN BEI MATTIGHOFEN;15;-2;-11,7%;18;2;12,3%;33;0;0,3%
40408-FRANKING;11;5;80,3%;13;7;121,7%;24;12;100,0%
40409-GERETSBERG;8;1;8,0%;9;1;14,1%;17;2;11,2%
40410-GILGENBERG AM WEILHART;7;-2;-21,8%;10;1;7,5%;16;-1;-6,8%
40411-HAIGERMOOS;3;1;58,3%;2;1;50,0%;5;2;54,8%
40412-HANDENBERG;8;1;12,4%;19;4;30,3%;27;5;24,2%
40413-HELPFAU-UTTENDORF;38;0;0,9%;52;3;6,1%;90;3;3,9%
40414-HOCHBURG-ACH;17;2;11,1%;18;2;13,2%;35;4;12,2%
40415-HOEHNHART;10;-1;-9,6%;19;3;21,5%;29;2;8,4%
40416-JEGING;2;-2;-54,7%;4;2;61,3%;6;-1;-11,9%
40417-KIRCHBERG BEI MATTIGHOFEN;6;1;11,1%;7;1;18,3%;13;2;14,9%
40418-LENGAU;37;-5;-11,7%;45;8;23,3%;82;4;4,5%
40419-LOCHEN;17;-2;-7,9%;18;0;0,9%;36;-1;-3,6%
40420-MARIA SCHMOLLN;7;-2;-20,9%;13;2;12,8%;21;0;-2,0%
40421-MATTIGHOFEN;72;10;15,4%;68;8;12,8%;140;17;14,1%
40422-MAUERKIRCHEN;41;2;4,0%;43;6;14,8%;84;7;9,3%
40423-MINING;8;-1;-5,8%;9;0;-3,6%;17;-1;-4,6%
40424-MOOSBACH;8;1;11,2%;10;-1;-5,3%;19;0;1,4%
40425-MOOSDORF;15;-1;-6,8%;15;-3;-18,1%;29;-4;-12,8%
40426-MUNDERFING;28;-3;-10,1%;31;-1;-2,9%;59;-4;-6,5%
40427-NEUKIRCHEN AN DER ENKNACH;14;-1;-7,3%;19;2;9,9%;33;1;2,0%
40428-OSTERMIETHING;31;4;15,6%;27;6;25,5%;59;10;20,0%
40429-PALTING;9;4;98,1%;4;-2;-29,9%;13;3;26,7%
40430-PERWANG AM GRABENSEE;5;1;22,0%;6;-2;-21,6%;11;-1;-5,8%
40431-PFAFFSTAETT;5;-1;-15,8%;7;1;25,4%;12;0;2,9%
40432-PISCHELSDORF AM ENGELBACH;11;1;12,0%;15;5;53,8%;26;7;33,1%
40433-POLLING IM INNKREIS;10;2;23,9%;8;0;5,4%;18;2;14,6%
40434-ROSZBACH;10;3;42,7%;11;2;15,8%;21;4;27,0%
40435-SANKT GEORGEN AM FILLMANNSBACH;2;-2;-46,3%;4;2;76,9%;6;0;1,5%
40436-SANKT JOHANN AM WALDE;12;1;8,1%;25;0;-1,6%;37;1;1,4%
40437-SANKT PANTALEON;30;1;3,5%;43;2;4,6%;73;3;4,2%
40438-SANKT PETER AM HART;19;3;15,3%;18;-1;-4,1%;36;2;5,1%
40439-SANKT RADEGUND;2;0;-4,0%;2;-1;-34,9%;4;-1;-23,5%
40440-SANKT VEIT IM INNKREIS;1;-1;-58,6%;1;0;14,3%;2;-1;-34,9%
40441-SCHALCHEN;36;2;5,2%;40;9;27,6%;76;10;15,9%
40442-SCHWAND IM INNKREIS;3;1;50,0%;7;1;27,4%;9;2;32,9%
40443-TARSDORF;10;2;28,4%;6;-1;-15,4%;17;1;7,0%
