;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;51;7;15,2%;48;-4;-7,5%;99;3;2,9%
40402-ASPACH;19;3;21,6%;21;-3;-13,4%;40;0;0,4%
40403-AUERBACH;1;-2;-70,4%;2;0;-15,4%;3;-2;-43,4%
40404-BRAUNAU AM INN;209;19;10,0%;238;6;2,7%;447;25;6,0%
40405-BURGKIRCHEN;19;0;0,0%;19;6;49,7%;38;6;20,1%
40406-EGGELSBERG;17;1;8,4%;16;-2;-11,1%;33;-1;-2,0%
40407-FELDKIRCHEN BEI MATTIGHOFEN;16;3;21,6%;16;1;3,7%;33;4;12,0%
40408-FRANKING;6;-1;-14,6%;6;1;30,2%;12;0;2,1%
40409-GERETSBERG;7;3;72,5%;8;1;16,5%;16;4;37,5%
40410-GILGENBERG AM WEILHART;8;-4;-31,3%;9;-3;-22,1%;17;-6;-26,9%
40411-HAIGERMOOS;2;0;26,3%;2;-1;-33,3%;4;0;-8,7%
40412-HANDENBERG;7;-2;-20,5%;15;-3;-18,2%;22;-5;-19,0%
40413-HELPFAU-UTTENDORF;37;5;16,7%;49;3;6,0%;86;8;10,4%
40414-HOCHBURG-ACH;15;2;13,9%;16;1;3,3%;31;2;8,2%
40415-HOEHNHART;11;-1;-4,9%;16;-1;-5,6%;27;-2;-5,3%
40416-JEGING;4;2;65,6%;3;0;-11,4%;7;1;25,4%
40417-KIRCHBERG BEI MATTIGHOFEN;5;0;3,3%;6;1;16,4%;11;1;9,8%
40418-LENGAU;42;11;35,2%;36;-4;-9,2%;78;7;10,2%
40419-LOCHEN;19;2;11,8%;18;-1;-6,4%;37;1;2,1%
40420-MARIA SCHMOLLN;9;1;18,3%;12;0;2,9%;21;2;9,1%
40421-MATTIGHOFEN;62;8;13,7%;60;1;0,8%;122;8;7,0%
40422-MAUERKIRCHEN;39;8;23,9%;37;3;9,6%;76;11;16,5%
40423-MINING;9;0;-2,8%;9;1;9,8%;18;1;3,3%
40424-MOOSBACH;7;2;36,9%;11;1;12,0%;18;3;20,9%
40425-MOOSDORF;16;4;31,0%;18;2;12,0%;34;6;20,2%
40426-MUNDERFING;31;4;15,0%;32;-5;-14,6%;63;-1;-2,1%
40427-NEUKIRCHEN AN DER ENKNACH;15;1;9,1%;18;4;30,9%;33;5;19,9%
40428-OSTERMIETHING;27;3;13,6%;22;-2;-6,5%;49;2;3,7%
40429-PALTING;4;0;0,0%;6;1;11,7%;10;1;6,2%
40430-PERWANG AM GRABENSEE;4;1;19,0%;7;2;31,3%;12;2;26,6%
40431-PFAFFSTAETT;6;-1;-18,3%;5;0;8,6%;12;-1;-7,9%
40432-PISCHELSDORF AM ENGELBACH;10;1;14,7%;10;1;6,2%;20;2;10,3%
40433-POLLING IM INNKREIS;8;-1;-7,1%;8;-1;-9,7%;15;-1;-8,4%
40434-ROSZBACH;7;1;13,9%;10;-2;-19,1%;16;-1;-8,0%
40435-SANKT GEORGEN AM FILLMANNSBACH;3;1;28,1%;2;-1;-29,7%;6;0;-2,9%
40436-SANKT JOHANN AM WALDE;11;1;6,3%;25;0;0,7%;37;1;2,3%
40437-SANKT PANTALEON;29;8;36,1%;42;7;18,6%;70;14;25,1%
40438-SANKT PETER AM HART;16;3;21,0%;18;4;28,8%;35;7;25,0%
40439-SANKT RADEGUND;2;-3;-61,5%;4;-1;-27,1%;6;-5;-45,2%
40440-SANKT VEIT IM INNKREIS;2;0;0,0%;1;-1;-44,0%;4;-1;-20,4%
40441-SCHALCHEN;34;7;24,8%;31;3;9,6%;65;9;17,0%
40442-SCHWAND IM INNKREIS;2;-1;-39,4%;5;0;0,0%;7;-1;-13,7%
40443-TARSDORF;8;1;13,1%;8;-4;-33,1%;16;-3;-15,5%
40444-TREUBACH;4;-2;-35,1%;4;-1;-20,4%;8;-3;-28,9%
40445-UEBERACKERN;2;-1;-39,0%;3;2;146,7%;5;1;10,7%
40446-WENG IM INNKREIS;9;2;36,0%;9;-4;-29,5%;17;-1;-7,2%
Gesamt;877;97;12,4%;960;9;1,0%;1.836;106;6,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Eferding 402;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40501-ALKOVEN;26;2;7,5%;42;5;13,2%;68;7;10,9%
40502-ASCHACH AN DER DONAU;14;0;-1,8%;23;4;23,6%;36;4;12,7%
40503-EFERDING;29;8;40,1%;41;7;21,0%;70;15;28,2%
40504-FRAHAM;11;1;9,2%;9;-1;-6,8%;20;0;1,3%
40505-HAIBACH OB DER DONAU;6;1;28,3%;5;-1;-8,7%;11;1;7,4%
40506-HARTKIRCHEN;16;-3;-13,5%;27;5;24,6%;43;3;7,0%
40507-HINZENBACH;8;-1;-10,2%;14;3;24,5%;23;2;9,3%
40508-PRAMBACHKIRCHEN;12;-6;-34,6%;25;0;-0,3%;37;-6;-14,7%
40509-PUPPING;7;1;21,9%;12;2;25,4%;18;4;24,2%
40510-SANKT MARIENKIRCHEN AN DER POLSENZ;8;0;-2,0%;12;-3;-18,5%;20;-3;-12,5%
40511-SCHARTEN;11;-5;-31,2%;19;0;0,4%;30;-5;-13,8%
40512-STROHEIM;9;1;19,1%;11;-2;-13,7%;20;0;-1,7%
Gesamt;155;0;-0,1%;240;21;9,8%;395;21;5,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2004      Region:  Freistadt 403;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40601-FREISTADT;74;4;5,8%;91;12;15,4%;165;16;10,9%
40602-GRUENBACH;15;4;38,6%;12;-2;-13,1%;27;2;9,7%
40603-GUTAU;18;2;12,3%;16;1;4,3%;34;3;8,4%
40604-HAGENBERG IM MUEHLKREIS;13;-3;-16,4%;11;-3;-20,0%;24;-5;-18,1%
40605-HIRSCHBACH IM MUEHLKREIS;5;0;5,0%;7;1;12,3%;12;1;9,0%
40606-KALTENBERG;3;1;76,5%;6;0;6,3%;8;1;21,3%
40607-KEFERMARKT;14;2;16,3%;16;4;36,8%;30;6;26,1%
40608-KOENIGSWIESEN;20;5;31,7%;26;0;-0,3%;45;5;11,5%
40609-LASBERG;18;5;33,3%;17;3;22,3%;35;8;27,8%
40610-LEOPOLDSCHLAG;7;2;35,4%;12;1;6,0%;19;3;15,6%
