;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;42;-5;-11,2%;58;7;13,3%;99;2;1,5%
40402-ASPACH;19;1;2,7%;25;5;25,1%;44;6;14,4%
40403-AUERBACH;5;-1;-19,1%;3;1;57,1%;7;0;-1,1%
40404-BRAUNAU AM INN;247;-12;-4,6%;285;8;2,9%;532;-4;-0,7%
40405-BURGKIRCHEN;23;-2;-7,6%;20;0;0,8%;43;-2;-3,9%
40406-EGGELSBERG;19;-2;-8,1%;23;0;1,1%;42;-1;-3,3%
40407-FELDKIRCHEN BEI MATTIGHOFEN;11;-3;-21,6%;14;2;12,0%;25;-2;-5,7%
40408-FRANKING;9;-2;-17,3%;10;2;22,8%;19;0;0,4%
40409-GERETSBERG;10;3;39,0%;10;2;18,8%;19;4;28,1%
40410-GILGENBERG AM WEILHART;8;-1;-12,6%;9;1;6,7%;17;-1;-3,2%
40411-HAIGERMOOS;6;0;4,8%;4;1;18,6%;10;1;10,4%
40412-HANDENBERG;8;0;2,2%;17;3;20,2%;25;3;14,0%
40413-HELPFAU-UTTENDORF;41;2;4,4%;49;1;2,2%;90;3;3,2%
40414-HOCHBURG-ACH;18;3;17,6%;20;7;49,4%;38;9;32,4%
40415-HOEHNHART;8;-1;-9,9%;21;3;18,3%;29;2;8,5%
40416-JEGING;8;2;27,0%;6;0;1,5%;14;2;14,8%
40417-KIRCHBERG BEI MATTIGHOFEN;10;-1;-5,6%;13;4;41,1%;23;3;16,5%
40418-LENGAU;32;-1;-2,6%;45;-1;-1,1%;77;-1;-1,7%
40419-LOCHEN;15;-2;-13,2%;19;2;8,5%;35;-1;-2,4%
40420-MARIA SCHMOLLN;6;0;-1,4%;13;3;27,0%;19;3;16,8%
40421-MATTIGHOFEN;76;3;4,7%;93;19;25,1%;169;22;15,1%
40422-MAUERKIRCHEN;34;0;-0,2%;34;-3;-8,4%;68;-3;-4,5%
40423-MINING;8;1;18,8%;5;0;0,0%;13;1;11,4%
40424-MOOSBACH;9;3;43,7%;10;-2;-13,4%;18;1;6,3%
40425-MOOSDORF;15;3;21,2%;16;4;36,9%;31;7;28,9%
40426-MUNDERFING;26;-5;-14,9%;30;0;0,0%;56;-5;-7,6%
40427-NEUKIRCHEN AN DER ENKNACH;18;4;27,0%;19;2;12,1%;38;6;18,9%
40428-OSTERMIETHING;29;-1;-4,7%;29;2;6,5%;58;0;0,6%
40429-PALTING;5;1;13,5%;6;1;19,7%;11;2;16,8%
40430-PERWANG AM GRABENSEE;6;-1;-12,6%;9;2;23,6%;16;1;5,7%
40431-PFAFFSTAETT;10;1;7,1%;10;-3;-24,2%;20;-2;-10,9%
40432-PISCHELSDORF AM ENGELBACH;7;-7;-47,9%;17;-1;-3,4%;24;-7;-23,5%
40433-POLLING IM INNKREIS;5;0;8,3%;9;1;9,8%;15;1;9,3%
40434-ROSZBACH;7;1;7,7%;10;2;23,2%;17;2;16,2%
40435-SANKT GEORGEN AM FILLMANNSBACH;5;1;42,5%;3;0;-10,3%;8;1;16,5%
